Diputado,sexo,nacimiento2,edad,estadocivil,religion,Distrito (id),Fuerza,Distrito(nombre),Inicia mandato,Finaliza mandato,Bloque,Twitter,JuroPor,JuramentoEspecial,PosicionFrenteAlAborto,Fuente,Comentarios,,,
"Carrizo, Maria Soledad",M,21/4/1977,41,Casada,Católica,14,cambiemos,Córdoba,10/12/2017,09/12/2021,UCR,@MSoleCarrizo,"Dios, la Patria y los Santos Evangelios",,En Contra,http://www.lavoz.com.ar/politica/el-no-al-aborto-es-mayoria-entre-congresistas-cordobeses,https://radiocut.fm/audiocut/abrir-el-debate-es-un-avance-estoy-en-contra-de-la-despenalizacion-del-aborto-msolecarrizo/,,,
"Carro, Pablo",V,29/3/1965,53,Soltero,Atea,14,fpv,Córdoba,10/12/2017,09/12/2021,FRENTE PARA LA VICTORIA - PJ,@PabloCarroOk,La Patria,,A Favor,https://youtu.be/icRMmQ_Gung?t=142,,,,
"Caselles, Graciela Maria",M,10/5/1966,52,Casada,Católica,70,otros,San Juan,10/12/2015,09/12/2019,PARTIDO BLOQUISTA DE SAN JUAN,@gcaselles,"Dios, la Patria y los Santos Evangelios",,En Contra,http://www.portalunoargentina.com.ar/contenidosver.asp?id=27417&sid=137,,,,
"Cassinerio, Paulo Leonardo",V,17/6/1979,38,Casado,Católica,14,pj,Córdoba,10/12/2017,09/12/2021,CORDOBA FEDERAL,@PauloCassinerio,"Dios, la Patria y los Santos Evangelios",,En Contra,http://www.lavoz.com.ar/politica/el-no-al-aborto-es-mayoria-entre-congresistas-cordobeses,,,,
"Castagneto, Carlos Daniel",V,11/1/1960,58,Casado,NO CONTESTA,06,fpv,Buenos Aires,10/12/2015,09/12/2019,FRENTE PARA LA VICTORIA - PJ,@CastagnetoC,"Dios, la Patria y los Santos Evangelios",,A Favor,http://www.parlamentario.com/noticia-107828.html,CAMBIO,,,https://twitter.com/CastagnetoC/status/572830836141248512
"Castro, Sandra Daniela",M,13/1/1985,33,Soltera,Católica,70,pj,San Juan,10/12/2017,09/12/2021,FRENTE PARA LA VICTORIA - PJ,@Daniela24450862,La Patria,,En Contra,https://www.tiempodesanjuan.com/politica/2018/2/23/juan-unnime-diputados-nacionales-contra-aborto-207118.html,,,,
"Cerruti, Gabriela",M,9/12/1965,52,Divorciada,Atea,02,fpv,Ciudad Autónoma de Buenos Aires,10/12/2017,09/12/2021,FRENTE PARA LA VICTORIA - PJ,@gabicerru,la Constitución Nacional ,,A Favor,https://www.facebook.com/GabrielaCerruti/posts/10154612374290055,,,,
"Ciampini, Jose Alberto",V,11/7/1953,64,Casado,Católica,58,fpv,Neuquén,10/12/2015,09/12/2019,FRENTE PARA LA VICTORIA - PJ,@DipCiampini,La Patria,,A Favor,https://docs.google.com/spreadsheets/d/1mOiTT3JIdQPxVLTQ-a3OivQqE15oLvdWMv6I_DpMZak/edit?usp=sharing,,,,
"Cleri, Marcos",V,1/12/1982,35,Soltero,Cristiana,82,fpv,Santa Fe,10/12/2015,09/12/2019,FRENTE PARA LA VICTORIA - PJ,@marcoscleri,Dios y la Patria,"Por el pueblo de la provincia de Santa Fe; por mis compañeros, que siempre son mejores que yo; por los empoderados y héroes anónimos que militaron por la liberación nacional, por Néstor, por Cristina, por Perón y Evita",A Favor,https://www.pagina12.com.ar/99297-apoyos-y-condenas,Según trascendidos votaría a favor,,,
"Contigiani, Luis Gustavo",V,21/1/1972,46,Casado,Cristiana,82,otros,Santa Fe,10/12/2017,09/12/2021,PARTIDO SOCIALISTA,@LuisContigiani,"Dios, la Patria y los Santos Evangelios",,En Contra,http://avellaneda24.com/luis-contigiani-estoy-en-contra-del-aborto,,,,
"Correa, Walter",V,,,No contesta,NO CONTESTA,06,fpv,Buenos Aires,10/12/2017,09/12/2021,FRENTE PARA LA VICTORIA - PJ,@waltercorreasoc,"Dios, la Patria y los Santos Evangelios",,A Favor,http://www.parlamentario.com/noticia-107828.html,,,,
"Cresto, Mayda",M,6/2/1972,46,Divorciada,Católica,30,pj,Entre Ríos,10/12/2017,09/12/2021,JUSTICIALISTA,@MaydaCresto,"Dios, la Patria y los Santos Evangelios",,En Contra,http://www.analisisdigital.com.ar/noticias.php?ed=1&di=0&no=262264,,,,
"David, Nestor Javier",V,16/10/1972,45,Casado,Católica,66,pj,Salta,10/12/2015,09/12/2019,JUSTICIALISTA,@javierdavid72,,,En Contra,https://www.lagacetasalta.com.ar/nota/99895/actualidad/debate-aborto-especulacion-gobierno-o-respuesta-demanda-social-genuina.html,en esta nota lo posicionan en contra pero no hay fuentes:,,,
"De Mendiguren, Jose Ignacio",V,23/8/1950,67,Casado,Católica,06,pais,Buenos Aires,10/12/2017,09/12/2021,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,@dmvasco,"Dios, la Patria y los Santos Evangelios",,En Contra,http://radiocaput.com/2018/03/01/para-de-mendiguren-el-principal-problema-de-macri-es-la-falta-de-realismo/,,,,
"De Pedro, Eduardo Enrique",V,11/11/1976,41,Casado,Católica,06,fpv,Buenos Aires,10/12/2015,09/12/2019,FRENTE PARA LA VICTORIA - PJ,@wadodecorrido,Dios y la Patria,,A Favor,http://www.parlamentario.com/noticia-107828.html,,,,
"De Ponti, Lucila Maria",M,9/3/1985,33,Soltera,Católica,82,pj,Santa Fe,10/12/2015,09/12/2019,PERONISMO PARA LA VICTORIA,@ludeponti,Dios y la Patria,"Por el pueblo argentino, por los 30 mil desaparecidos y todos los que dieron su vida en la lucha por la liberación nacional",A Favor,http://www.lanacion.com.ar/2111850-la-legalizacion-del-aborto-altero-al-congreso-pero-todavia-no-reune-mayoria,,,,
"De Vido, Julio",V,26/12/1949,68,Casado,NO CONTESTA,06,fpv,Buenos Aires,10/12/2015,09/12/2019,FRENTE PARA LA VICTORIA - PJ,@JulioDeVido,"Dios, la Patria y los Santos Evangelios",,Se Abstiene,"si llega a estar presente, vota a favor",NO VOTA,,,
"Del Caño, Nicolas",V,6/2/1980,38,Soltero,Atea,06,izq,Buenos Aires,10/12/2017,09/12/2021,PTS - FRENTE DE IZQUIERDA,@NicolasdelCano,la Constitución Nacional ,"Por memoria, verdad y justicia para Santiago Maldonado y Rafael Nahuel, por nuestros jubilados, a los que quieren seguir empobreciendo, por las mujeres que luchan por las conquistas de sus derechos, por la clase trabajadora y los pueblos oprimidos del mundo",A Favor,https://www.lanacion.com.ar/2111850-la-legalizacion-del-aborto-altero-al-congreso-pero-todavia-no-reune-mayoria,,,,
"Del Cerro, Gonzalo Pedro Antonio",V,29/6/1943,74,Divorciado,Atea,82,cambiemos,Santa Fe,10/12/2017,09/12/2021,UCR,@gondelcerro,La Patria,,A Favor,http://www.parlamentario.com/noticia-107828.html,,,,
"Del Pla, Romina",M,2/4/1972,46,Soltera,Atea,06,izq,Buenos Aires,10/12/2017,09/12/2021,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,@RominaDelPla,la Constitución Nacional ,"Por la educación pública nacional y en defensa de los docentes, por justicia para Carlos Fuentealba, Santiago y Rafael, por los derechos de los trabajadores y los jubilados, a los que quieren atropellar, por el gobierno de los trabajadores y el socialismo aquí y en todo el mundo",A Favor,https://www.infobae.com/politica/2018/02/23/el-debate-por-el-aborto-legal-un-congreso-dividido-entre-el-papa-y-el-reclamo-feminista/,,,,
"Delu, Melina Aida",M,,,No contesta,NO CONTESTA,42,pj,La Pampa,10/12/2017,09/12/2021,JUSTICIALISTA,@MelinaDelu,Dios y la Patria,,No confirmado,http://www.eldiariodelapampa.com.ar/index.php/111-portada/principal/40565-el-aborto-interpela-a-legisladores-y-agita-las-redes-sociales,,,,
"Derna, Veronica",M,6/10/1974,43,Soltera,Católica,54,pj,Misiones,10/12/2015,09/12/2019,FRENTE DE LA CONCORDIA MISIONERO,@veroderna,,,No confirmado,https://www.clarin.com/politica/aborto-diputados-oponen-llevan-leve-ventaja_0_ByjcR1MYM.html,,,,
"Di Stefano, Daniel",V,20/11/1987,30,Soltero,Católica,54,pj,Misiones,10/12/2015,09/12/2019,FRENTE DE LA CONCORDIA MISIONERO,@DistefanoDaniel,"Dios, la Patria y los Santos Evangelios","Por la provincia de Misiones, por Andresito, por Néstor y Cristina",A Favor,https://twitter.com/DistefanoDaniel/status/251531467568590848,,,,
"Dindart, Julian",V,22/7/1961,56,No contesta,NO CONTESTA,18,cambiemos,Corrientes,10/12/2015,09/12/2019,UCR,,"Dios, la Patria y los Santos Evangelios",,En Contra,https://www.pagina12.com.ar/diario/elpais/1-296754-2016-04-12.html,,,,
"Doñate, Claudio Martin",V,17/9/1977,40,Casada,Cristiana,62,otros,Río Negro,10/12/2015,09/12/2019,FRENTE PARA LA VICTORIA - PJ,@martindonate,Dios y la Patria,"Por mis compañeros de militancia, por mi amada provincia de Río Negro, por la presidenta coraje Cristina y por la memoria y las convicciones de Néstor Kirchner",A Favor,http://www.rionegro.com.ar/argentina/el-aborto-legal-divide-opiniones-entre-los-diputados-de-la-region-MA4417691,,,,
"Donda Perez, Victoria Analia",M,10/12/1975,42,Casado,Católica,02,fpv,Ciudad Autónoma de Buenos Aires,10/12/2015,09/12/2019,LIBRES DEL SUR,@vikidonda,La Patria,"Por María Hilda Pérez, mi mamá; por José María Donda, mi papá; y mis compañeros y compañeras de Barrios de Pie, Libres del Sur y progresistas",A Favor,https://twitter.com/CECILIAMOREAU/status/968633839542243328,Es una de las que presenta el proyecto,,,
"Echegaray, Alejandro Carlos Augusto",V,16/2/1965,53,Casado,Católica,06,cambiemos,Buenos Aires,10/12/2015,09/12/2019,UCR,@alechegarayUCR,Dios y la Patria,,A Favor,http://www.parlamentario.com/noticia-107486.html,,,,
"Enriquez, Jorge Ricardo",V,3/10/1947,70,Casado,Católica,02,cambiemos,Ciudad Autónoma de Buenos Aires,10/12/2017,09/12/2021,PRO,@enriquezjorge,,,En Contra,https://jorgerenriquez.wordpress.com/2008/03/21/el-aborto-es-lisa-y-llanamente-un-homicidio/,,,,
