Diputado,sexo,nacimiento2,edad,estadocivil,religion,Distrito (id),Fuerza,Distrito(nombre),Inicia mandato,Finaliza mandato,Bloque,Twitter,JuroPor,JuramentoEspecial,PosicionFrenteAlAborto,Fuente,Comentarios,,,
"Villalonga, Juan Carlos",V,5/6/1960,58,Divorciado,Agnóstica,02,cambiemos,Ciudad Autónoma de Buenos Aires,10/12/2015,09/12/2019,PRO,@Calivillalonga,la Constitución Nacional ,,A Favor,http://www.perfil.com/politica/el-aborto-se-metio-en-la-campana-y-altero-los-nervios-en-cambiemos-y-en-la-oposicion.phtml,,,,
"Villavicencio, Maria Teresita",M,17/6/1975,42,Casada,Católica,90,otros,Tucumán,10/12/2015,09/12/2019,EVOLUCION RADICAL,@teresita_ok,"Dios, la Patria y los Santos Evangelios","Por la memoria de Paulina Lebbos, “Ni una menos”",A Favor,http://www.ambito.com/913008-diputadas-opositoras-pediran-sesion-especial-para-tratar-proyecto-para-legalizar-el-aborto,,,,
"Volnovich, Luana",M,26/9/1979,38,Soltera,Atea,06,fpv,Buenos Aires,10/12/2015,09/12/2019,FRENTE PARA LA VICTORIA - PJ,@luanavolnovich,La Patria,Por Néstor y por Cristina Fernández de Kirchner siempre,A Favor,https://twitter.com/luanavolnovich/status/965601039083802624,,,,
"Wechsler, Marcelo German",V,30/12/1964,53,Casado,Judía,02,cambiemos,Ciudad Autónoma de Buenos Aires,10/12/2015,09/12/2019,PRO,@mgwechsler,Dios y la Patria,"Sobre el Tanaj, la Biblia hebrea",A Favor,http://www.parlamentario.com/noticia-107486.html,,,,
"Wellbach, Ricardo",V,,,No contesta,NO CONTESTA,54,otros,Misiones,10/12/2017,09/12/2021,FRENTE DE LA CONCORDIA MISIONERO,@RicardoWellbach,Dios y la Patria,,En Contra,https://www.facebook.com/notes/misiones-tierra-colorada/misiones-adhiri%C3%B3-a-la-ley-de-salud-sexual-responsable/144843289081/,,,,
"Wisky, Sergio Javier",V,15/2/1966,52,Divorciado,Católica,62,cambiemos,Río Negro,10/12/2015,09/12/2019,PRO,@sergiowisky,La Patria,,A Favor,http://www.parlamentario.com/noticia-107486.html,https://www.infobae.com/politica/2018/02/25/es-diputado-del-pro-medico-y-apoya-la-despenalizacion-del-aborto/,,,
"Wolff, Waldo Ezequiel",V,21/9/1968,49,Casado,Judía,06,cambiemos,Buenos Aires,10/12/2015,09/12/2019,PRO,@WolffWaldo,la Constitución Nacional ,,A Favor,https://twitter.com/WolffWaldo/status/971908671377682432?s=19,Lo dijo en el programa de feinman,,,
"Yasky, Hugo",V,10/10/1949,68,Divorciado,Atea,06,fpv,Buenos Aires,10/12/2017,09/12/2021,FRENTE PARA LA VICTORIA - PJ,@HugoYasky,La Patria,,A Favor,https://twitter.com/HugoYasky/status/965642156026318848,,,,
"Yedlin, Pablo Raul",V,,,No contesta,NO CONTESTA,90,pj,Tucumán,10/12/2017,09/12/2021,JUSTICIALISTA POR TUCUMAN,@pyedlin,Dios y la Patria,,A Favor,https://www.lagaceta.com.ar/nota/771983/actualidad/seis-nueve-diputados-tucumanos-le-dijeron-si-al-pedido-arzobispo-sanchez.html,,,,
"Zamarbide, Federico Raul",V,3/12/1982,35,En pareja,Católica,50,cambiemos,Mendoza,10/12/2017,09/12/2021,UCR,@FZamarbide,Dios y la Patria,,En Contra,https://losandes.com.ar/article/view?slug=la-mitad-de-los-diputados-mendocinos-dice-que-votara-en-contra-del-aborto-legal,,,,
"Zamora, Claudia",M,14/9/1974,43,Casada,Católica,86,otros,Santiago del Estero,10/12/2017,09/12/2021,FRENTE CIVICO POR SANTIAGO,,"Dios, la Patria y los Santos Evangelios",,En Contra,"esta fuente es muy border para jugársela por un ""no"", no?  Igual se sabe cómo votaría, ja http://www.po.org.ar/prensaObrera/1375/mujer/santiago-del-estero-otra-mujer-muerta-por-aborto-clandestino.",,,,
"Ziliotto, Sergio Raul",V,24/9/1962,55,Casado,NO CONTESTA,42,pj,La Pampa,10/12/2015,09/12/2019,JUSTICIALISTA,@ZiliottoSergio,Dios y la Patria,,No confirmado,http://www.eldiariodelapampa.com.ar/index.php/111-portada/principal/40565-el-aborto-interpela-a-legisladores-y-agita-las-redes-sociales,,,,
"Zottos, Andres",V,30/11/1961,56,Casado,Cristiana,66,pj,Salta,10/12/2017,09/12/2021,JUSTICIALISTA,@andreszottos,Dios y la Patria,,En Contra,https://www.eltribuno.com/salta/nota/2018-2-24-1-30-15-casi-todos-los-diputados-saltenos-contra-la-despenalizacion-del-aborto,,,,
